temporada;data;time_casa;time_fora;gols_casa_ft;gols_fora_ft;resultado_ft;odd_pinnacle_casa;odd_pinnacle_empate;odd_pinnacle_fora;odd_media_casa;odd_media_empate;odd_media_fora
2012;2012-07-11;Corinthians;Botafogo RJ;1;3;A;2,06;3,54;3,93;1,89;3,32;3,94
2012;2012-07-14;Corinthians;Nautico;2;1;H;1,41;4,9;9,3;1,41;4,31;7,41
2012;2012-07-14;Figueirense;Atletico-MG;3;4;A;2,74;3,38;2,78;2,47;3,24;2,7
2012;2012-07-15;Ponte Preta;Coritiba;4;1;H;2,68;3,34;2,88;2,32;3,21;2,98
2012;2012-07-15;Bahia;Flamengo RJ;1;2;A;2,27;3,5;3,4;2,25;3,26;3,02
2012;2012-07-15;Botafogo RJ;Fluminense;1;1;D;2,6;3,48;2,86;2,57;3,24;2,61
2012;2012-07-15;Cruzeiro;Gremio;1;3;A;1,98;3,62;4,19;1,93;3,38;3,75
2012;2012-07-15;Internacional;Santos;0;0;D;2,04;3,51;4,08;1,9;3,34;3,91
2012;2012-07-15;Palmeiras;Sao Paulo;1;1;D;2,7;3,2;2,97;2,6;3,16;2,64
2012;2012-07-15;Sport Recife;Portuguesa;2;1;H;2,23;3,45;3,56;2,06;3,32;3,43
2012;2012-07-15;Vasco;Atletico GO;1;0;H;1,61;4,23;6,09;1,52;3,92;5,97
2012;2012-07-18;Gremio;Sport Recife;3;1;H;1,42;4,94;8,94;1,37;4,41;7,96
2012;2012-07-18;Santos;Botafogo RJ;0;0;D;2,24;3,6;3,37;2,21;3,28;3,1
2012;2012-07-19;Nautico;Ponte Preta;3;0;H;2,25;3,58;3,37;2,15;3,28;3,2
2012;2012-07-19;Portuguesa;Cruzeiro;0;2;A;2,59;3,36;2,97;2,44;3,2;2,78
2012;2012-07-19;Atletico-MG;Internacional;3;1;H;1,69;3,96;5,73;1,72;3,51;4,64
2012;2012-07-19;Flamengo RJ;Corinthians;0;3;A;2,57;3,36;3,01;2,38;3,2;2,89
2012;2012-07-19;Sao Paulo;Vasco;0;1;A;1,89;3,75;4,42;1,86;3,39;4,04
2012;2012-07-20;Atletico GO;Figueirense;3;2;H;1,97;3,44;4,38;1,98;3,34;3,63
2012;2012-07-20;Coritiba;Palmeiras;1;1;D;1,86;3,72;4,53;1,79;3,5;4,21
2012;2012-07-20;Fluminense;Bahia;4;0;H;1,38;5,3;9,11;1,34;4,57;8,98
2012;2012-07-21;Sport Recife;Atletico-MG;1;4;A;3,67;3,5;2,16;3,3;3,3;2,09
2012;2012-07-21;Vasco;Santos;2;0;H;1,78;3,83;5,11;1,69;3,56;4,76
2012;2012-07-22;Corinthians;Portuguesa;1;1;D;1,7;4,09;5,33;1,57;3,74;5,7
2012;2012-07-22;Cruzeiro;Flamengo RJ;1;0;H;1,74;3,94;5,2;1,77;3,53;4,27
2012;2012-07-22;Figueirense;Sao Paulo;0;2;A;2,47;3,45;3,07;2,4;3,22;2,82
2012;2012-07-22;Internacional;Atletico GO;4;1;H;1,67;3,91;6,04;1,57;3,7;5,75
2012;2012-07-22;Palmeiras;Nautico;3;0;H;1,55;4,25;7,13;1,53;3,8;6,11
2012;2012-07-22;Bahia;Coritiba;2;2;D;2,35;3,45;3,28;2,27;3,23;3
2012;2012-07-22;Botafogo RJ;Gremio;0;1;A;2,02;3,52;3,98;1,98;3,37;3,58
2012;2012-07-22;Ponte Preta;Fluminense;1;2;A;3,33;3,49;2,29;3,04;3,27;2,22
2012;2012-07-25;Figueirense;Internacional;0;1;A;2,64;3,46;2,8;2,51;3,21;2,67
2012;2012-07-25;Ponte Preta;Sport Recife;1;1;D;1,71;3,98;5,22;1,71;3,61;4,56
2012;2012-07-26;Nautico;Coritiba;3;4;A;2,22;3,71;3,31;2,14;3,32;3,19
2012;2012-07-26;Vasco;Botafogo RJ;1;0;H;2,43;3,66;2,99;2,29;3,3;2,92
2012;2012-07-26;Atletico GO;Sao Paulo;4;3;H;2,67;3,42;2,84;2,68;3,2;2,5
2012;2012-07-26;Corinthians;Cruzeiro;2;0;H;1,99;3,53;4,25;1,92;3,28;3,83
2012;2012-07-26;Gremio;Fluminense;1;0;H;1,79;3,74;5;1,79;3,45;4,26
2012;2012-07-27;Atletico-MG;Santos;2;0;H;1,57;4,17;6,99;1,49;3,9;6,58
2012;2012-07-27;Flamengo RJ;Portuguesa;0;0;D;1,78;4,09;4,71;1,73;3,52;4,6
2012;2012-07-27;Palmeiras;Bahia;0;2;A;1,57;4,22;6,75;1,48;3,92;6,67
2012;2012-07-28;Coritiba;Gremio;2;1;H;2,59;3,44;2,92;2,34;3,25;2,88
2012;2012-07-28;Internacional;Vasco;0;0;D;2,04;3,52;4,07;2,02;3,28;3,51
2012;2012-07-29;Botafogo RJ;Figueirense;1;0;H;1,53;4,51;6,81;1,52;3,9;5,98
2012;2012-07-29;Bahia;Corinthians;0;0;D;3,01;3,34;2,57;2,95;3,18;2,33
2012;2012-07-29;Fluminense;Atletico-MG;0;0;D;2,33;3,47;3,29;2,18;3,26;3,16
2012;2012-07-29;Sao Paulo;Flamengo RJ;4;1;H;1,69;4,03;5,5;1,69;3,6;4,76
2012;2012-07-29;Sport Recife;Atletico GO;0;0;D;2,06;3,58;3,92;1,98;3,32;3,65
2012;2012-07-29;Cruzeiro;Palmeiras;2;1;H;2;3,34;4,5;1,9;3,32;3,93
2012;2012-07-29;Portuguesa;Nautico;3;1;H;1,66;4,09;5,76;1,68;3,66;4,75
2012;2012-07-29;Santos;Ponte Preta;2;1;H;2,02;3,46;4,18;1,92;3,31;3,85
2012;2012-08-04;Atletico GO;Botafogo RJ;1;2;A;3,06;3,62;2,4;2,76;3,25;2,43
2012;2012-08-04;Palmeiras;Internacional;0;1;A;2,33;3,35;3,41;2,26;3,21;3,06
2012;2012-08-05;Portuguesa;Figueirense;2;0;H;1,79;3,77;5,05;1,8;3,47;4,25
2012;2012-08-05;Coritiba;Fluminense;0;2;A;2,59;3,6;2,8;2,51;3,27;2,65
2012;2012-08-05;Gremio;Bahia;3;1;H;1,34;5,15;12,11;1,33;4,53;9,43
2012;2012-08-05;Sao Paulo;Sport Recife;1;0;H;1,44;4,88;8,17;1,39;4,29;7,79
2012;2012-08-05;Vasco;Corinthians;0;0;D;2,15;3,5;3,69;2,06;3,24;3,48
2012;2012-08-05;Cruzeiro;Ponte Preta;1;2;A;1,62;4,28;5,82;1,61;3,72;5,28
